,name,beer_style,brewery,rating,num_ratings,abv,date_added,beer_desc,not_available
19,Jam Sesh: Blackberry,Cream Ale,Eagle Park Brewing Company,3.99,780,7.5% ABV,03/22/19,"A PB&J inspired cream ale with a subtle bready malt character, aged on peanut butter and blackberry.",
20,HDHC Genesee Dream Ale,Cream Ale,Other Half Brewing Co.,3.99,"1,484",4.7% ABV,07/25/20,"Its been over a year since our release of the OG Genny Dream Ale at Genesee's Brewery so its time for us to take a crack at this version of a Genesee classic. We decided to go full on HDHC with Citra, Citra Cryo and Citra Incognito. This Dream Ale is brewed with a healthy dose of oats and hint of milk sugar for smoothness and creaminess. Thanks to the folks at Genesee for making this beer with us in time to celebrate one year in Bloomfield.",
21,Basic Coffee,Cream Ale,Carton Brewing Company,3.98,"1,460",8% ABV,10/03/18,"Basic Coffee is a continuation of the Regular Coffee game. A simpler version of our golden coffee cream ale has been finished with espresso roasted blend of Sumatran, Columbian and Ethiopian beans, and a spicing of cinnamon, ginger, nutmeg, allspice, cloves, vanilla beans, cardamom, mace and orange zest. Much like Regular Coffee looks to evoke an amusing version of the acidic bitter coffee curbed by milk and sugar that starts a day in a paper cup, Basic Coffee plays to that twenty ouncer that tags along on a lazy autumn morning, when sweats and slip-ons really are the only clothes. Drink Basic Coffee because you make fun of #PSL even though you luuurve #PS",
22,KING COLD BREW - ETHEIOPIA/BRAZIL (2018),Cream Ale,HOMES Brewery,3.98,304,8% ABV,04/24/18,ged on Ethiopian and Brazilian coffee from Coffee Work,1.0
23,All the Breakfast,Cream Ale,Wolf's Ridge Brewing,3.97,"1,962",10.7% ABV,06/14/17,"Imperial Cream Ale brewed with rice, oats, corn, barley, smoked malt, Ohio maple syrup, and lactose. Conditioned on vanilla, cacao, coconut, cinnamon, coffee, and orange peel.",
24,KING COLD BREW - KENYAN EMBU (2019),Cream Ale,HOMES Brewery,3.97,340,7.6% ABV,09/19/19,"cold brewed with Kenyan coffee (Embu County) via Coffee Works, notes of sweet chocolate, dark fruit & biscuit",1.0
25,Coffee & Pavlova,Cream Ale,Carton Brewing Company,3.97,"1,558",12% ABV,01/21/19,"Coffee & Pavlova is a continuation of the Regular Coffee game. Our golden imperial coffee cream ale has been finished with strawberries and kiwi. Much like Regular Coffee looks to evoke an amusing version of the acidic bitter coffee curbed by milk and sugar that starts a day in a paper cup, Coffee & Pavlova imagines a creamy cup of coffee drunk with light, crisp and fruity confection, outside the theater on a tour to the summer-side of the world during our winter. Drink Coffee & Pavlova, and knock your slippers off.",
26,House Roast,Cream Ale,RAR Brewing,3.97,543,9.2% ABV,05/21/16,Imperial Coffee Cream Al,
27,Sunset Crush,Cream Ale,Pure Project Brewing,3.97,"1,165",5.8% ABV,05/27/16,"A summer twist on our house cream ale with fruity, bright acidity created by adding 600 pounds of local organic strawberries from J.R. Organics. Flaked corn and Organic Madagascar Vanilla beans create a sweet and creamy backbone to showcase the fruit. A clean and refreshing ale ready for summer.",
28,KING COLD BREW - BRAZILIAN SAO LUIZ (2019),Cream Ale,HOMES Brewery,3.96,282,7.75% ABV,05/28/19,"cold brewed with Brazilian coffee (Sao Luiz Estate) via Coffee Works, notes of hazelnut and dark chocolat",1.0
29,Double Jam Sesh,Cream Ale,Eagle Park Brewing Company,3.96,560,8.5% ABV,09/20/19,"A PB&J inspired cream ale with a subtle bready malt character, aged on peanut butter and blackberry.",
30,Abbott’s Vanilla Almond Custard Cream Ale,Cream Ale,Stoneyard Brewing Company,3.96,706,6.5% ABV,12/11/19,"There are few things that are Rochester to the core like Abbott's Frozen Custard. Local rock star Elvio Fernandes told us, ""You gotta do another beer with Abbott's. Vanilla Almond Custard is my favorite!""

We couldn't be happier to oblige. Enjoy this smooth and creamy ale the next time you are rocking out with your friends.

Made with lactose, and real Abbott's custard ingredients, this is your favorite local treat turned into a smooth and creamy beer!",
31,Creme Supreme,Cream Ale,Mikkeller Brewing San Diego,3.95,662,12% ABV,12/21/17,"Imperial cream ale with lactose, coffee, vanilla and cinnamon",1.0
32,Mexican Coffee,Cream Ale,Carton Brewing Company,3.94,926,12% ABV,03/15/19,"Mexican Coffee is a continuation of the Regular Coffee game. Our golden imperial coffee cream ale has been finished on Tequila wood and homemade coffee syrup. Much like Regular Coffee looks to evoke an amusing version of the acidic bitter coffee curbed by milk and sugar that starts a day in a paper cup, Mexican Coffee addresses it as a rendition of sweet coffee in a cordial glass, touched with coffee liqueur and tequila. Drink Mexican Coffee when the next beverage needs to downshift from dinner to fiesta.",
33,Perk Ya Later,Cream Ale,Trail Point Brewing Company ,3.94,884,4% ABV,06/01/17,Blonde Coffee Cream Al,
34,Maryland Roast,Cream Ale,RAR Brewing,3.94,"1,019",9% ABV,11/24/16,Imperial coffee cream al,
35,KING COLD BREW - ETHIOPIAN GERA (2019),Cream Ale,HOMES Brewery,3.94,223,7.4% ABV,04/22/19,"cold brewed with Ethiopian coffee (Gera Estate) via Coffee Works, notes of almonds and dark chocolat",1.0
36,The Cake Is A Lie,Cream Ale,Intergalactic Brewing Company,3.94,"1,142",7% ABV,01/31/15,Coffee Cream Al,1.0
37,Pumpkin Pie Spice Cream Ale,Cream Ale,Mother Tucker Brewery,3.93,300,5.5% ABV,08/19/17,,
38,KING COLD BREW-COSTA RICAN CHIRIPPO,Cream Ale,HOMES Brewery,3.92,249,9.3% ABV,07/30/19,"cold brewed with Costa Rican Chirripó via Coffee Works, notes of vanilla, orange zest, & red fruit",1.0
39,Light & Sweet,Cream Ale,Carton Brewing Company,3.92,"1,946",6% ABV,05/22/19,"ight & Sweet is a continuation of the Regular Coffee game. Where Regular derives its creaminess from the warm richness of a higher ABV, L&S looks to a nitro treatment for body, allowing the same flavors with less sugar and less alcohol. A nimbler version of our amusing beer rendition of the acidic bitter coffee curbed by milk and two sugars that starts a day in a paper cup, for the all-day drinker. Drink Light &Sweet when you want more than one, but there has to be a morning after.",
40,Imperial Caramel Cream Ale,Cream Ale,Due South Brewing Co. ,3.92,"1,244",8.4% ABV,07/02/13,Strong cream ale with vanilla and lactose.,
41,Buzzy Blonde,Cream Ale,Badger State Brewing Company,3.92,354,5.3% ABV,12/06/17,"Buzzy Blonde combines the perfect combination of coffee flavor and aroma in a slightly sweet cream ale base beer. Vanilla, Hazelnut, and Floral roast coffee flavors are also present in this brew. Buzzy Blonde is perfect for drinking any time of year.",
42,French Coffee,Cream Ale,Carton Brewing Company,3.91,870,12% ABV,02/18/19,"French Coffee is a continuation of the Regular Coffee game. Our golden imperial coffee cream ale has been finished on Orange Brandy wood. Much like Regular Coffee looks to evoke an amusing version of the acidic bitter coffee curbed by milk and sugar that starts a day in a paper cup, French Coffee addresses it on the other end of the day. A beer rendition of a mug of coffee touched by Orange Brandy and whipped cream to tie up a long dinner service. Drink French coffee to kiss this shift goodby",
43,Genny Dream Ale,Cream Ale,Other Half Brewing Co.,3.91,"1,132",4.6% ABV,03/19/19,The classic Cream Ale recipe crushed with oats and a massive OH dose of Citra hops. Only available at Genesee Brew House in Rochester.,
44,KING COLD BREW - TANZANIAN,Cream Ale,HOMES Brewery,3.91,197,7.5% ABV,11/29/18,"cold brewed with Tanzanian coffee via Coffee Works, notes of chocolate, citrus, & caramel",1.0
45,Cinnamon Toast Brunch,Cream Ale,Collusion Tap Works,3.91,999,10% ABV,10/28/16,"Imperial Cream Ale brewed with Lactose sugar, Vietnamese Cinnamon and Vanilla conditioned on Green Bean Coffee Beans, Madagascar Vanilla beans and Vietnamese Cinnamon.",
46,Vanilla Coffee Cream Ale,Cream Ale,Ingenious Brewing Company,3.91,718,5.2% ABV,06/15/17,Cream ale conditioned on vanilla beans and cold brew coffee.,
47,KING COLD BREW - HONDURAN (2018),Cream Ale,HOMES Brewery,3.91,238,7.5% ABV,08/01/18,ged on Honduran coffee roasted by Coffee Work,1.0
48,Kentucky Coffee Barrel Cream Ale,Cream Ale,Lexington Brewing & Distilling Co.,3.9,"5,647",5.5% ABV,03/21/19,"Coffee Cream Ale- Cream ale brewed with Haitian coffee and aged in oak bourbon barrels.

The brewers at Lexington Brewing Co. took a traditional cold-conditioned cream ale brewed with flaked corn and added our own Haitian coffee to the mix. After resting in fresh bourbon barrels from some of Kentucky's premier distillers, Kentucky Coffee Barrel Cream Ale becomes a sessionable beer packed with flavor. Big, bold notes of coffee on the nose and palate give way to a smooth finish of bourbon grains and oak. Subtle notes of vanilla and caramel complement this beer from time spent in the barrel.",
49,Cookie Dipper,Cream Ale,Shy Bear Brewing,3.9,875,6% ABV,12/07/18,Modeled after your favorite childhood snack this beer is like an oatmeal cream cookie that you can drink – what could be better?,
0,Boss's Boss,Dampfbier,Neighborhood Beer Co.,3.78,230,11.1% ABV,10/01/16,"Boss’s Boss Bronze Ale is a “triple-strength” Dampfbier. Brewed exclusively for the 1-Year Anniversary of the Neighborhood Beer Co., this high-octane version of the Boss Flamingo exhibits a unique balance of malt, hops, and spicy yeast flavors. It has never been made before and is only available at the Neighborhood tasting room. 11.1% ABV",1.0
1,Hella,Dampfbier,Sundog Brewing,3.77,342,9% ABV,12/13/17,"Cerveja inspirada na antiga DAMPFBIER, uma receita histórica dos vilarejos bávaros do sudeste alemão, na fronteira com a atual República Tcheca.
Fermentada em alta temperatura, tem cor de cobre, com notas de damasco, banana e especiarias, levemente seca e com amargor herbal/picante.",
2,OGRE,Dampfbier,Ostrovica,3.77,563,6.5% ABV,03/03/20,"Дампфбир (от нем. Dampf — «пар») Древнейшний баварский стиль ячменного пива, сваренный без применения пшеничного солода, но на дрожжах для брожения пшеничного пива.",
3,Verdammt!,Dampfbier,Medusa Brewing Company,3.74,172,6.2% ABV,05/27/19,"This historical German ale style hearkens back to a period when wheat was too precious to be used in brewing, resulting in all-barley ales fermented with classic Bavarian yeasts. Verdammt! has a touch more body and noble hop finish, but all the classic character of banana and clove found in traditional hefeweizen.",
4,Vielendampf,Dampfbier,Good City Brewing,3.71,207,5.4% ABV,02/03/18,"Prost Brewing Company Collaboration

An old German style brewed in collaboration by old friends, Good City’s Andy Jones and Prost’s Colin Ford. Brewed with barley and weizen yeast, this less known Dampfbier style features banana clove flavors with a surprisingly dry finish. Old Meets New. Seek the Good.",
5,Dampf,Dampfbier,St. Elmo Brewing Company,3.7,626,6.1% ABV,11/05/16,,
6,Wornerweiss Dampfbier,Dampfbier,Fat Head's Brewery,3.69,214,5.4% ABV,07/07/17,,
7,Folks Bier,Dampfbier,Surly Brewing Company,3.68,221,5.5% ABV,06/03/16,Nitro. Bready malt flavors with clove and malt aromas; minimal bitterness yet dry hopped with Glacier resulting in an orange-tangerine aroma component to the banana and clove yeast-created aroma.,
8,Feral Dampf,Dampfbier,Jester King Brewery,3.68,"1,374",5.7% ABV,04/15/16,"Feral Dampf was brewed on January 26th, 2016 with well water, malted barley, oats, and hops, and fermented with native microorganisms from the air around our brewery, as well as our mixed culture of brewers yeast and native yeast and bacteria. It was packaged on March 16th, 2016, and was naturally refermented in bottles, kegs, and casks.",
9,Vila Wald,Dampfbier,Beryl's Beer Co.,3.66,266,6.3% ABV,11/17/14,Dampf aged in red/white wine barrels.,1.0
10,Dampfbier,Dampfbier,Inbound BrewCo,3.66,222,5.2% ABV,04/16/16,"German style, spicy clove and banana in this non-wheat beer. Malty, nutty supports, with mild hops to balance.",1.0
11,Dampfbier,Dampfbier,Inbound BrewCo,3.66,222,5.2% ABV,04/16/16,"German style, spicy clove and banana in this non-wheat beer. Malty, nutty supports, with mild hops to balance.",1.0
12,Steambreather,Dampfbier,Cosmic Eye Brewing,3.66,375,4.7% ABV,11/06/18,"This German style steam beer features a strong yeast flavor component of banana and clove with a spicy, wood, and earth hop character.",
13,Pump Up the Volume (Dampf! Dampf!),Dampfbier,Dunedin Brewery,3.66,182,6.2% ABV,03/11/17,"The 7th installment of the Tampa Bay Beer Week Mixed Tape Collaboration Series with 7venth Sun Brewery. This Dampfbier, or “steam beer” has historic origins in Germany, and is cloudy with refreshing citrus notes.",
14,Sublimation,Dampfbier,Gneiss Brewing Company,3.65,311,5.6% ABV,07/04/14,Dampfbier made with 100% barely malt and hopped with Glacier hops.,
15,Dampfbier,Dampfbier,Surly Brewing Company,3.65,"3,402",5% ABV,09/06/13,"The German equivalent of a steam beer (“Dampf” equals “steam”), Dampfbier use an all-barley malt bill. Whereas a traditional steam beer like a California Common uses a lager yeast, the aforementioned Hefe yeast is featured here. This unique brewing style was once very popular in an isolated region that is the present-day Germany/Czechoslovakia border, mostly because it was about the only beer they could brew there. Surly’s version is also dry-hopped with Glacier hops, nudging a little hoppiness into the mix, along with some orange-tangerine aromatics.",1.0
16,Dampfbier,Dampfbier,Surly Brewing Company,3.65,"3,402",5% ABV,09/06/13,"The German equivalent of a steam beer (“Dampf” equals “steam”), Dampfbier use an all-barley malt bill. Whereas a traditional steam beer like a California Common uses a lager yeast, the aforementioned Hefe yeast is featured here. This unique brewing style was once very popular in an isolated region that is the present-day Germany/Czechoslovakia border, mostly because it was about the only beer they could brew there. Surly’s version is also dry-hopped with Glacier hops, nudging a little hoppiness into the mix, along with some orange-tangerine aromatics.",1.0
17,Vinnie,Dampfbier,Bold Dog Beer Co.,3.64,265,5.1% ABV,03/28/19,"Dedicated to Vinnie, aka Young Vincent, aka Brown Dog. This beer was a happy accident, (not like the ones he leaves on the carpet). This malt forward beer was an experiment from playing with different German yeasts. Much like Vinnie, this beer doesn’t quite fit in. Not quite a Munich Dunkel, and not quite a Dunkelweiss, but still holds a special place in our hearts.",
18,Dampfbier Hell,Dampfbier,Oberstdorfer Dampfbierbrauerei,3.63,428,5.2% ABV,06/08/14,,
19,Dampfbier Dunkel,Dampfbier,Oberstdorfer Dampfbierbrauerei,3.62,314,5% ABV,01/10/16,,
20,Frankly My Dear I Don’t Give A Dampf,Dampfbier,Brieux Carré Brewing Company,3.62,169,5.7% ABV,05/04/19,Golden dark and hazy,
21,Veldensteiner Bierwerkstatt Historisches Dampfbier,Dampfbier,Kaiser Bräu,3.62,167,5.6% ABV,09/05/20,,
22,Kilauea Crater Dampfbier,Dampfbier,Kona Brewing Company,3.62,252,5.1% ABV,03/03/15,Filtered amber with Bavarian yeast modeled on beer from the Bavaria region of Germany.,
23,Danger Prone Daphne's,Dampfbier,Oak & Dagger,3.61,157,4% ABV,07/25/18,"A German Farmhouse Ale made with all malted barley, but, a hefeweizen yeast at warm temp. Spicy, dry, a little sweet & tart. Prost!",
24,The Dampf'd,Dampfbier,Widmer Brothers Brewing,3.61,192,5.3% ABV,05/26/14,,
25,Steam Whistle Dampfbier,Dampfbier,Cavendish Brewing Company,3.61,424,4.6% ABV,04/03/17,"Translating to “Steam Beer"", this traditional German beer was known as the poor man’s beer. We stick close to tradition by only using German hops, malt and yeast to bring you this malty, refreshing, and flavorful beer straight out of the past.",
26,Shine,Dampfbier,Indiana City Brewing Company,3.61,343,5% ABV,04/19/14,"ight Barley Ale Fermented With Wiessen Yeast. Sweet, Light Bodied With Low Bitterness.",
27,X Steam Beer - Collaboration Brew,Dampfbier,CREW Republic,3.6,372,5.2% ABV,04/14/16,,1.0
28,Dampfbier,Dampfbier,Gordon Biersch Brewery Restaurant,3.6,153,N/A ABV,02/04/12,,1.0
29,Dampfbier,Dampfbier,Gordon Biersch Brewery Restaurant,3.6,153,N/A ABV,02/04/12,,1.0
30,Dampf Days,Dampfbier,Pizza Boy Brewing Co.,3.6,416,5.2% ABV,12/06/18,"This California Common (or Steam Beer) is brewed from a blend of Pale Ale, Munich and Crystal malt creating a smooth and lager-like, deep copper colored beer finished with a touch of the almighty Cascade hop. These beers are ales but are fermented cooler and stored (lagered) cold for many moons to smooth everything out until their release. Expect a light fruitiness followed by a robust, medium bodied maltiness and a slightly spicy, touch of citrus finish.",
31,Hopfen Dampf,Dampfbier,Gathering Place Brewing Company,3.59,154,5.3% ABV,10/22/17,"A light, fruity Bavarian farmhouse shares similarities to its cousin the Bavarian Hefeweizen minus the wheat malt. Callista and Opal hops lend notes of gooseberry and citrus, while elevated fermentation temperatures - a process made famous by Anchor - amplify the pear, apple, and anise flavors and aromas from the Bavarian Hefe yeast.",
32,Lady Colborne,Dampfbier,Kichesippi Beer Co.,3.59,417,5.1% ABV,12/24/15,"The first steamboat on the Ottawa River was the sidewheel paddle-steamer Lady Colborne. Starting in 1832, this 100 foot long passenger steamer worked on the Ottawa between Aylmer and Fitzroy four times a week in each direction, for the seven months that the river was open each year. 

Dampfbier (German for steam beer), is a rare centuries-old style, and was traditionally known as a beer for the common folk. Brewed with German weizen yeast, this all malt brew has hints of clove and a mild hop finish. 

This beer was formally known as Dartmouth Common",
33,Porch Swing,Dampfbier,Cobblehaus Brewing Co.,3.59,157,5.1% ABV,06/22/17,"An all barley ale, fermented with Weissbier yeast. Medium bodied, lightly hopped & brewed in the summer.",
34,Dampfbier,Dampfbier,Rapp Brewing Company,3.58,196,6.1% ABV,08/09/13,,1.0
35,Dampfbier,Dampfbier,Rapp Brewing Company,3.58,196,6.1% ABV,08/09/13,,1.0
36,Dampf Punk,Dampfbier,Switchback Brewing Company,3.58,"1,730",5.4% ABV,04/23/16,"Dampf Punk is our take on the California Common, a uniquely American style lager. This beer is fermented with our house lager yeast at a higher temperature more common to ales, yet showcases the best attributes of both lagers and ales. It holds the crisp clean flavors of a lager but the mouthfeel and complexity of an ale. The dry-hopping of this brew in the fermenter provides soft tropical and herbal notes which serve to accentuate the clean profile of the beer while simultaneously complementing the fruitier notes contributed by the warmer fermentation.",
37,Bier-Bienne 1,Dampfbier,BierBienne,3.55,185,5.2% ABV,01/11/14,Steamstyle Beer,
38,Dampfbier,Dampfbier,August Schell Brewing Company,3.55,477,5% ABV,06/08/14,"Schell's Dampfbier is an experimental Weiss beer made for this series. It is an all-barley ale, warm-fermented with Weissbier yeast. It is mildly hopped with a subtle spicy aroma.",1.0
39,Dampfbier,Dampfbier,August Schell Brewing Company,3.55,477,5% ABV,06/08/14,"Schell's Dampfbier is an experimental Weiss beer made for this series. It is an all-barley ale, warm-fermented with Weissbier yeast. It is mildly hopped with a subtle spicy aroma.",1.0
40,Dampf Beer,Dampfbier,Victory Brewing Company,3.54,263,5.9% ABV,01/16/13,,
41,Mariestads Amerikansk Dampfbier,Dampfbier,Spendrups Bryggeri,3.53,228,6% ABV,04/20/17,,
42,Boss Flamingo Bronze Ale,Dampfbier,Neighborhood Beer Co.,3.53,"2,087",7.2% ABV,07/11/15,"Boss Flamingo Bronze Ale is one of the rarest beers in the world. Its harmonic blend of hops, malt, and spicy yeast flavors create a surprisingly unique blend of fruity aromas and hop-bitterness. It’s an Americanized, “imperialized” interpretation of the Bavarian Forest Dampfbier. It has never been made before.",1.0
43,Dampfkraft,Dampfbier,Clockwerks Brewing,3.51,150,4.9% ABV,08/31/17,"Smooth easy drinking crisp carmel malt, with a supporting hop balance.",
44,100s of PeachCots,Dampfbier,Beryl's Beer Co.,3.49,240,5.3% ABV,07/19/15,,1.0
45,Dampen,Dampfbier,Kinn Bryggeri,3.49,"7,761",4.7% ABV,07/08/11,,
46,Rising Sun,Dampfbier,Somerville Brewing Company (Slumbrew),3.49,457,5.7% ABV,05/17/12,"Inspired by a less known German brewing style called dampfbier – an all barley malt bill fermented with wheat beer yeast – we found a delicious new expression for our Happy Sol yeast. This beer pours a deep red color with unique malty flavors from roasted barley, Munich, pilsen and caramel malts. A subtle hop spice is derived from German Perle and Hallertau hops.",
47,Steam Beer,Dampfbier,Trondhjem Mikrobryggeri,3.49,318,5.5% ABV,09/29/12,"Steam beer, quite fruity",1.0
48,Dampf Loc,Dampfbier,Local Option Bierwerker,3.46,"4,816",5.3% ABV,08/12/11,"Dampf Loc is an all-barley warm fermented ale inspired by “Dampfbier” originally crafted by medieval peasant inhabitants of the Bavarian Forest. A modern interpretation of its Teutonic predecessor, this “Hefe Gerste” is true to its roots; unmistakable in character and accessible to beer drinkers of all palates.

Dampf Loc has a mild hop profile, medium body and a clear, rich, orange hue.",
49,Steam Beer,Dampfbier,Fur Bryghus,3.4,548,7.8% ABV,08/16/12,,1.0
50,Dampfbier,Dampfbier,Dampfbierbrauerei Zwiesel,3.34,"2,814",5% ABV,10/29/11,,1.0
51,Dampfbier,Dampfbier,Dampfbierbrauerei Zwiesel,3.34,"2,814",5% ABV,10/29/11,,1.0
52,Borbecker Helles Dampfbier,Dampfbier,Dampfe - Das Borbecker Brauhaus,3.27,"3,509",4.8% ABV,04/18/11,"Gebraut nach den überlieferten Rezepturen der ersten Braumeister der Borbecker Dampf-Bierbrauerei, ist diese Bierspezialität aus der Gründerzeit ein Geheimtipp für viele Bierkenner. Süffig, elegant und sehr bekömmlich. Eine Rarität unter den Bieren.",
53,Weeping Willows,Dampfbier,Trädskogens Bryggeri,3.09,"1,026",4.8% ABV,04/05/17,A collab with the swedish band Weeping Willow,
0,Dark & Perilous Nights,Dark Ale,Siren Craft Brew,4.37,"1,810",12.4% ABV,02/14/20,"An extraordinary collaboration with Florida's J. Wakefield. Expect rich aromas of dark sugar and toffee, with a comforting chocolate fudge flavour profile, warming spirit complexity and a slick mouthfeel.",
1,Barrel Aged Gavel Slammer,Dark Ale,Hoppin' Frog Brewery,4.22,"1,139",17.4% ABV,11/11/17,"Barrel-aged over-the-top ale like no other, with a truly magnificent character fro aging in select whiskey barrels. Rich, aromatic, lively and dark, with layer after layer of roasted, toasted, and caramelized malts, beautifully balanced from the oak barrel. We've done our part, slamming the hammer down for freedom from alcohol limits.",
2,Trip in the Woods Maillard's Odyssey,Dark Ale,Sierra Nevada Brewing Co.,4.16,"3,122",9.3% ABV,08/29/15,"Velvety smooth and indulgent, Barrel-Aged Maillard’s Odyssey is the bourbon-barrel-aged version of our Beer Camp Across America collaboration with Bell’s Brewery. This Imperial Dark Ale is a perfect balance of vanilla, caramel, and toasty malt flavors with a nose full of barrel—a decadent sipper of a beer.",1.0
3,Gavel Slammer 17.4% Monumental Dark Ale,Dark Ale,Hoppin' Frog Brewery,4.1,"2,991",17.4% ABV,11/04/16,"An over-the-top ale like no other, with a gavel-slammin’ flavor profile - rich, aromatic, lively and dark. Going light years over the top of Ohio’s old beer/alcohol limit, Gavel Slammer is brewed to celebrate Hoppin’ Frog putting the hammer down for freedom in brewing Ohio’s beer! Because of our efforts, on August 26th 2016 we were presented the actual gavel used in the final Senate session that removed Ohio’s alcohol limit on beer!! We did our little part, and we’re proud of this recognition, and our freedom.",
4,Sadie,Dark Ale,Beachwood Brewing,4.1,"1,370",12% ABV,09/18/14,Sadie is an expressive ale that was carefully aged in bourbon barrels for one year. Rich accents of caramel and vanilla are carefully intertwined with delicate notes of oak and toasted oats. This inspired beer is remarkably adventurous and delightfully spirited – just like its namesake.,
5,Dark Matter Mexican Donut,Dark Ale,Barreled Souls Brewing Company,4.08,694,11.5% ABV,07/01/17,"Dark Matter aged in a mix of Tequila and Rum barrels, then finished on vanilla, chocolate, and cinnamon donuts from The Holy Donut and roasted Fresno chilies.",1.0
6,"Chickowsvidanya: Coffee, Cinnamon, And Vanilla",Dark Ale,Listermann Brewing Company,4.07,327,12.5% ABV,11/23/18,"Bourbon barreled age dark ale with coffee, cinnamon, and vanilla added.",
7,Gavel Slammer Monumental Dark Ale (2018),Dark Ale,Hoppin' Frog Brewery,4.06,535,17.4% ABV,11/08/18,"An over-the-top ale like no other, with a gavel-slammin' flavor profile - rich, aromatic, lively and dark. Going light years over the top of Ohio's old beer/alcohol limit, Gavel Slammer is brewed to celebrate Hoppin' Frog putting the hammer down for freedom in brewing Ohio's beer! Because of our efforts, on August 26th, 2016 we were presented the actual gavel used in the final Senate session that removed Ohio's alcohol limit on beer! We did our little part, and we're proud of this recognition, and our freedom.",1.0
8,4 Blés,Dark Ale,Bodebrown,4.06,672,11.7% ABV,03/22/13,"Com alto grau alcoólico, chegando aos 11,7%, a 4 Blés (katʀ bles) é uma belgian specialty ale de cor escura e marcante aroma.

A cerveja é produzida com quatro tipos diferentes de trigo: flocado, caramelizado, torrado e defumado em carvalho.

Do tipo abadia, leva ainda em sua composição levedura canadense, damasco, tâmaras e chips de carvalho.

A combinação única torna a 4 Blés uma criação especial da Bodebrown.",
9,Limousine of the Damned,Dark Ale,Solemn Oath Brewery,4.04,614,9% ABV,10/19/15,"This Barrel-aged blended dark ale is a bodacious blend of a Russian Imperial Stout (Kavorka), American Barleywine (Ticklefight), and a Scotch Ale (Telegraph) all aged 10 months in 4 Roses Bourbon Barrel",
10,Cold Press Black,Dark Ale,Bent Paddle Brewing Co.,4.04,"19,705",6% ABV,10/24/14,A local infusion of flavor – Bent Paddle Black combined with Duluth Coffee Company’s Cold-Press coffee. Smoother than campfire coffee without the mess of the grounds. Lake Superior is managed through a bi-national agreement much like our partnership between local crafters.,
11,Chickowsvydanya: Hazelnut and Coconut,Dark Ale,Listermann Brewing Company,4.03,262,12.5% ABV,01/28/19,,
12,Gobias,Dark Ale,Oliphant Brewing,4.03,"1,676",8% ABV,01/26/15,Black ale brewed with coffee.,
13,Nightwood,Dark Ale,The Referend Bier Blendery,4.02,435,4.6% ABV,04/13/19,"Spontaneously fermented dark ale aged 22 months in port, red wine, and bourbon barrels, refermented with local NJ aronia and elderberri",
14,Barrel Aged Serie No. 17 (Brok-in-de-Keel Auchentoshan Barrel Aged),Dark Ale,Bronckhorster Brewing Company,4.01,"1,158",10.5% ABV,09/27/19,,1.0
15,Nothing Special,Dark Ale,Tired Hands Brewing Company,4,718,4.3% ABV,06/29/19,"A freaked out riff on Nothing, our everyday Black Beer. Constructed from a base of British Maris Otter malt, as well as a selection of very dark malts. Hopped gently with Chinook, and conditioned on cacao, Madagascar vanilla beans, and Brazilian coffee roasted at our Awake Minds facility",
16,Bourbon Barrel 20th Anniversary Ale,Dark Ale,Dark Horse Brewing Co.,4,505,9.3% ABV,12/09/17,,
17,The Spice Must Flow!,Dark Ale,Lion Bridge Brewing Company,4,"1,464",7% ABV,08/14/18,"Dark Maple Syrup? Yup! Saigon Cinnamon? Absolutely! Fresh Nutmeg? Why not?!
This creamy, smooth black ale is beautifully balanced and complex. Just enough spice makes this luxurious treat so nice.
He (or she, or they) who controls the Spice, controls the universe!",
18,Chickowsvidanya,Dark Ale,Listermann Brewing Company,3.99,492,12.5% ABV,11/23/18,,
19,Coconut Kiloton,Dark Ale,Able Baker Brewing Company,3.99,215,12.1% ABV,06/19/18,"A kiloton is ""a unit of explosive power equivalent to 1,000 tons of TNT"" and it's the measuring unit used to evaluate atomic and nuclear devices. In 1946, beginning with the detonation of a 21 kiloton device, the United States began nuclear testing at Bikini Atoll in the Pacific. These tests damaged the island and much of it's vegetation but ""nature always finds a way"" and the first element to prove it's resilience and return was the coconut. Here we celebrate that fastidious fruit by brewing an Imperial Dark Ale with so much toasted coconut that it literally ""explodes"" with coconut flavor. Being an Able Baker beer, however, that's simply not enough so we aged it in Woodford Reserve bourbon barrels and then rested it on cocoa nibs. The result is a sultry, boozy, brew with bold, upfront coconut, and reserved tinges of chocolate and cherrywood. BOOM goes the coconut!",
20,Migration Series (Bourbon Barrel Aged),Dark Ale,Evolution Craft Brewing Company,3.98,886,10.5% ABV,06/08/15,"A dark, strong ale aged in bourbon barrels. This bourbon-forward ale has aggressive notes of vanilla, char and bourbon heat. Balancing the barrel character are elements of chocolate, coffee, toffee and caramel. This beer is black with a tan head, modest carbonation and is best served at 50-550F.",
21,Gavel Slammer Monumental Dark Ale (2019),Dark Ale,Hoppin' Frog Brewery,3.98,499,16.3% ABV,11/19/19,"An over-the-top ale like no other, with a gavel-slammin' flavor profile - rich, aromatic, lively and dark. Going light years over the top of Ohio's old beer/alcohol limit, Gavel Slammer is brewed to celebrate Hoppin' Frog putting the hammer down for freedom in brewing Ohio's beer! Because of our efforts, on August 26th, 2016 we were presented the actual gavel used in the final Senate session that removed Ohio's alcohol limit on beer! We did our little part, and we're proud of this recognition, and our freedom.",
